Brand Name,Price (INR),Product Name,Image URLs
RED TAPE,"Rs.2,640.00",Men Slip-On Ankle Length Boots with Flat Heels,"['https://assets.ajio.com/medias/sys_master/root/20231102/TNOy/6542b3afddf779151968bab1/red_tape_black_men_slip-on_ankle_length_boots_with_flat_heels.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231102/TNOy/6542b3afddf779151968baa5/red_tape_black_men_slip-on_ankle_length_boots_with_flat_heels.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231102/TNOy/6542b3afddf779151968baa2/red_tape_black_men_slip-on_ankle_length_boots_with_flat_heels.jpg']"
SHUZ TOUCH,"Rs.2,307.00",Ankle-Length Boots with Zip-Closure,"['https://assets.ajio.com/medias/sys_master/root/20230912/2ubu/64ff74afafa4cf41f5d99f6a/shuz_touch_brown_ankle-length_boots_with_zip-closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230912/2ubu/64ff74afafa4cf41f5d99f5e/shuz_touch_brown_ankle-length_boots_with_zip-closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230912/2ubu/64ff74afafa4cf41f5d99f5b/shuz_touch_brown_ankle-length_boots_with_zip-closure.jpg']"
MONDAIN,"Rs.2,777.00",Ankle Length Boots with Lace Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230630/r8HP/649e2efda9b42d15c92c1d87/mondain_black_ankle_length_boots_with_lace_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230630/r8HP/649e2efda9b42d15c92c1d7a/mondain_black_ankle_length_boots_with_lace_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230630/r8HP/649e2efda9b42d15c92c1d77/mondain_black_ankle_length_boots_with_lace_fastening.jpg']"
CLARKS,"Rs.5,099.00",Men Maplewalk Moc Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230821/5WnK/64e351c7ddf7791519565025/clarks_black_men_maplewalk_moc_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230821/5WnK/64e351c7ddf779151956500d/clarks_black_men_maplewalk_moc_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230821/5WnK/64e351c7ddf7791519565008/clarks_black_men_maplewalk_moc_ankle-length_boots.jpg']"
ARBUNORE,"Rs.1,518.00",Panelled Lace-Up Ankle-Length Combat Boots,"['https://assets.ajio.com/medias/sys_master/root/20211103/p7F6/61819375f997ddf8f1f80848/arbunore_brown_panelled_lace-up_ankle-length_combat_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211103/p7F6/61819375f997ddf8f1f8082d/arbunore_brown_panelled_lace-up_ankle-length_combat_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211103/p7F6/61819375f997ddf8f1f8081d/arbunore_brown_panelled_lace-up_ankle-length_combat_boots.jpg']"
FENTACIA,"Rs.1,305.00",Chelsea Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230623/iabH/6494caa142f9e729d77e15d8/fentacia_black_chelsea_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230623/iabH/6494caa142f9e729d77e15cd/fentacia_black_chelsea_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230623/iabH/6494caa142f9e729d77e15ca/fentacia_black_chelsea_boots_.jpg']"
ADORLY,"Rs.1,023.00",Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20201230/FXm7/5fec9beeaeb2694fd3051abf/adorly_black_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20201230/FXm7/5fec9beeaeb2694fd3051aa9/adorly_black_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20201230/FXm7/5fec9beeaeb2694fd3051aa2/adorly_black_ankle-length_boots.jpg']"
ARBUNORE,"Rs.1,200.00",Lace-Up Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220927/672H/63331bb4f997dd1f8d204108/arbunore_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220927/672H/63331bb4f997dd1f8d2040f8/arbunore_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220927/672H/63331bb4f997dd1f8d2040f4/arbunore_black_lace-up_ankle-length_boots.jpg']"
Everqupid,"Rs.1,599.00",Women Block Heeled Boots with Buckle Accent,"['https://assets.ajio.com/medias/sys_master/root/20230919/0nJ5/6509b5b7afa4cf41f5f17def/everqupid_black_women_block_heeled_boots_with_buckle_accent.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/0nJ5/6509b5b7afa4cf41f5f17deb/everqupid_black_women_block_heeled_boots_with_buckle_accent.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/0nJ5/6509b5b7afa4cf41f5f17de9/everqupid_black_women_block_heeled_boots_with_buckle_accent.jpg']"
ADORLY,"Rs.1,155.00",Textured Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20210104/lIAC/5ff3121baeb2694fd3079fcf/adorly_black_textured_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20210104/lIAC/5ff3121baeb2694fd3079fb8/adorly_black_textured_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20210104/lIAC/5ff3121baeb2694fd3079fae/adorly_black_textured_ankle-length_boots.jpg']"
